"SL No.","UPC Code","Item Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1191,180119790891,"Dreem Chocolate Colour 28ml",38,50,"HAIKO CONSUMER PRODUCT",0,0
1192,180119790839,"Dreem Leamon Essence 28ml",38,50,"HAIKO CONSUMER PRODUCT",0,0
1193,180119790792,"Dreem Mango Essence 28ml",38,50,"HAIKO CONSUMER PRODUCT",0,0
1194,180119790747,"Dreem Mango Jelly Powder 70gm",35,50,"HAIKO CONSUMER PRODUCT",0,0
1195,180119790860,"Dreem Orange Colour Essence 28ml",40,50,"HAIKO CONSUMER PRODUCT",0,0
1196,180119790808,"Dreem Orange Essence 28ml",38,50,"HAIKO CONSUMER PRODUCT",0,0
1197,180119790730,"Dreem Orange Jelly Powder 70gm",45,70,"HAIKO CONSUMER PRODUCT",0,0
1198,180119790754,"Dreem Strawberry Jelly Powder 70gm",38,50,"HAIKO CONSUMER PRODUCT",0,0
1199,180119790778,"Dreem Vanilla Essence 28ml",40,50,"HAIKO CONSUMER PRODUCT",0,0
1200,180119790853,"Drem red colour",38,50,"HAIKO CONSUMER PRODUCT",0,0
1201,180119790822,"Drem rose Flavour 28 ml",40,50,"HAIKO CONSUMER PRODUCT",0,0
1202,6924701633128,"Duckye Color ",40,100,Katumia_Sons,0,0
1203,5010232967649,"Durex Thin Feel 3 Condoms",80,100,"Rekit benkezer ltd",0,0
1204,8941169032810,"Easilife Isabgul bhushi 25g",26,32,"SHAJEEB CORPORATION",0,0
1205,21708091731600,"Ecogen Primix Fish 50g",275,275,Aponjon,0,0
1206,21708091731700,"Ecogen Primix Livestock 50g",265,265,Aponjon,0,0
1207,6085010092126,"ED backpack body spray 200ml",225,275,"Glo Brands",0,0
1208,6085010047225,"ED celebrity estiara body spray 200ml",225,275,"Glo Brands",0,0
1209,6085010047836,"ED groony body spray 200ml",0,0,"Glo Brands",0,0
1210,6085010047997,"ED magnificent body spray 200ml ",225,275,"Glo Brands",0,0
1211,6085010092119,"ED stag body spray 200ml",0,0,"Glo Brands",0,0
1212,6085010092171,"ED X-FASHION body spray 200ml",0,0,"Glo Brands",0,0
1213,11708302096700,"Elachi Kg",1360,1500,,0,0
1214,11708101754100,"Elite Black Hair",32,50,"ELIT MARKETING CO",0,0
1215,11708101785000,"Elite Hair Removal Cream",45,65,"ELIT MARKETING CO",0,0
1216,11708101756400,"Elite Mehedi 25gm",24,45,"ELIT MARKETING CO",0,0
1217,11708101771700,"Elite mesta Guard 50gm",105,165,"ELIT MARKETING CO",0,0
1218,11708101778300,"Elite Moisturising Hair Removal Cream (Lemon)  25 gm",35,65,"ELIT MARKETING CO",0,0
1219,11708142011400,"Elite Moisturising Hair Removal Cream (Rose) 25 gm",35,65,"Q  Q TRADING LTD",0,0
1220,11708101756600,"Elite Nail Color Cream 15gm",24,35,"ELIT MARKETING CO",0,0
1221,11708101773000,"Elite spot out cream 15gm",130,160,"ELIT MARKETING CO",0,0
1222,8901248451031,"EMAMI 7 OILS IN ONE  DAMAGE HAIR OIL  ",165,195,"RIGS MARKETING",0,0
1223,8901248451024,"emami 7 oils in one 100ml",84,100,"RIGS MARKETING",0,0
1224,8901248451017,"emami 7 oils in one damage control hair oil 50ml",54.5,60,"RIGS MARKETING",0,0
1225,8901248451048,"emami 7 oils in one DAMAGE HAIR OIL  300ml",209,250,"RIGS MARKETING",0,0
1226,8901248428187,"EMAMI FAIR AND HANDSOME FACE WASH 50G",89,105,"RIGS MARKETING",0,0
1227,8901248428170,"EMAMI FAIR AND HANDSOME FACE WASH oil control 50G",110,130,"RIGS MARKETING",0,0
1228,8513690101503,"Emolin Enriced Tibet Snow 50gm",48,50,"Kohinoor Chemical company Ltd",0,0
1229,614514060094,"Emotion Pour Femme B.Spray 200ml",245,290,"UNION BD CONSUMER LTD",0,0
1230,6297000402000,"English Blazer black Spray For Men 150ml",220,275,"Pearl International",0,0
1231,6297000402826,"English Blazer Commando Spray For Men 150ml",220,275,"Pearl International",0,0
1232,6297000402062,"English Blazer London for Men Body Spray 150ml",220,275,"Pearl International",0,0
1233,6297000402833,"English Blazer Sailor for Men Body Spray 150ml",220,275,"Pearl International",0,0
1234,8901571006878,"Eno Fruit Salt 2.07 g",12,15,"Al-Madina Pvt Ltd",0,0
1235,8690604044924,"erfect coverage liquid concealer n:03 5ml",375,500,"Pearl International",0,0
1236,8690604044955,"erfect coverage liquid concealer n:04 5ml",375,500,"Pearl International",0,0
1237,1202501,"Esquire Beauty Soap Case",21.5,35,"Esquire Plastic Ltd",0,0
1238,4050100,"Esquire Classic Glass",37.4,60,"Esquire Plastic Ltd",0,0
1239,17335867,"Esquire Clip Basket",205.7,275,"Esquire Plastic Ltd",0,0
1240,2050100,"Esquire Coffee Mug",42.07,70,"Esquire Plastic Ltd",0,0
1241,2150100,"Esquire Container Set 4pcs",374,575,"Esquire Plastic Ltd",0,0
1242,3060002,"Esquire Crystal Jug",158.95,245,"Esquire Plastic Ltd",0,0
1243,4070300,"Esquire Fancy Jug",112.2,170,"Esquire Plastic Ltd",0,0
1244,3100002,"Esquire Folding Stool ",224.4,345,"Esquire Plastic Ltd",0,0
1245,2040100,"Esquire Food Box",16.5,35,"Esquire Plastic Ltd",0,0
1246,3110103,"Esquire High Rack",430,650,"Esquire Plastic Ltd",0,0
1247,1120000,"Esquire Hunger 6pcs",112.2,168,"Esquire Plastic Ltd",0,0
1248,2090000,"Esquire Laundry Basket",93.5,155,"Esquire Plastic Ltd",0,0
1249,1202503,"Esquire Lily Soap Case",11.22,20,"Esquire Plastic Ltd",0,0
1250,2110002,"Esquire Medium Rack",345.9,525,"Esquire Plastic Ltd",0,0
1251,2080000,"Esquire Oval Basket",63.5,105,"Esquire Plastic Ltd",0,0
1252,3080100,"Esquire Paper Basket",76.67,120,"Esquire Plastic Ltd",0,0
1253,3070102,"Esquire Pitcher Jug",86.02,130,"Esquire Plastic Ltd",0,0
1254,3041500,"Esquire Round Box 3pcs set",144.9,240,"Esquire Plastic Ltd",0,0
