"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
1059,8941128000867,"Coffee Kep Candy 50 Pcs","Al-Madina Pvt Ltd","Package Food",38,50,"Package Food",0,10
1060,8901233024042,"Perk 13 gm","Al-Madina Pvt Ltd","Package Food",9.5,15,"Package Food",0,121
1061,8852023664668,"Koh-Kae Cashew Nuts","Al-Madina Pvt Ltd","Package Food",270,350,"Package Food",0,2
1062,9557062301145,"Mister Potato Chips Original 75gm","Q  Q TRADING LTD","Package Food",100,120,"Package Food",0,13
1063,9557062301169,"Mister Potato Chips Barbecue 75gm","Q  Q TRADING LTD","Package Food",100,120,"Package Food",0,4
1064,9557062321150,"Mister Potato Chips Hot & Spicy","Q  Q TRADING LTD","Package Food",75,90,"Package Food",0,10
1065,9557062321143,"Mister Potato Chips Barbecue 45gm","Q  Q TRADING LTD","Package Food",75,90,"Package Food",0,5
1066,8944000196887,"Alpenliee Smooth  75 pcs",,"Package Food",60,75,"Package Food",0,7
1067,8944000196917,"Alpenliebe POP",,"Package Food",3,5,"Package Food",0,132
1068,8944000195804,"Center Fruit 20 gm",,"Package Food",10,15,"Package Food",0,62
1069,11708121888700,"Mentos Marbels Sour 9.9 gm",,"Package Food",3,5,"Package Food",0,48
1070,8944000194692,"Mentos 23gm",,"Package Food",12,15,"Package Food",0,101
1071,8855322000502,"Dark Spot Fade Out Cream","UNION BD CONSUMER LTD","Personal Care",230,270,"Personal Care",0,4
1072,8908001158022,"White Tone Face Powder","S B DISTRIBUTION","Personal Care",125,160,"Personal Care",0,7
1073,614514070017,"Blue Lady Deo Roll-On","UNION BD CONSUMER LTD","Personal Care",188,220,"Personal Care",0,5
1074,8857101125390,"Whitening Face Deep Cleasing Oil control 100 ml","UNION BD CONSUMER LTD","Personal Care",120,185,"Personal Care",0,5
1075,8857101158961,"Ever Glow Face Wash Foam","UNION BD CONSUMER LTD","Personal Care",170,210,"Personal Care",0,4
1076,8857101158985,"EverGlow Face Wash Gel Lemon Extract 100 ml","UNION BD CONSUMER LTD","Personal Care",160,210,"Personal Care",0,3
1077,8857101158978,"EverGlow Face Wash Gel Neem Extract 100 ml","UNION BD CONSUMER LTD","Personal Care",160,210,"Personal Care",0,6
1078,8908001158596,"FOGG Fresh Aqua","S B DISTRIBUTION","Personal Care",269.79,345,"Personal Care",0,1
1079,8908001158695,"FOGG Blue Mountain","S B DISTRIBUTION","Personal Care",306.68,380,"Personal Care",0,3
1080,8941100512654,"Radhuni Pure Mustard Oil 500ml","Square Food and Beverage Ltd",Commodites,105,115,Commodites,0,24
1081,8941100512661,"Radhuni Pure Mustard Oil 1Litre","Square Food and Beverage Ltd",Commodites,204,220,Commodites,0,20
1082,8301100203028,"Fresh Mustard Oil 250ml","Meghna Group of Industries",Commodites,72,80,Commodites,0,2
1083,8941100512647,"Radhuni Pured Mustard Oil 250ml","Square Food and Beverage Ltd",Commodites,54,60,Commodites,0,13
1084,8301100201086,"Fresh Fortified Soyabean Oil 1Litre","Meghna Group of Industries",Commodites,95,104,Commodites,0,9
1085,8941052011045,"Rupchanda Fortified Soyabean Oil 1L","Bangladesh Adibol Oil Ltd",Commodites,104,107,Commodites,0,7
1086,831730005450,"Pran Mustard Oil 500ml","Pran Company Ltd",Commodites,78.92,114,Commodites,0,10
1087,8941052011052,"Rupchanda Fortified Soyabean Oil 2L","Bangladesh Adibol Oil Ltd",Commodites,206,216,Commodites,0,7
