"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1049,11807151087000,"Veet Trimmer ",Razors,260,300,,4,4
1050,1802114910000,"Venus Razors",Razors,600,650,,0,0
1051,11803119180000,"Victoria Body Mist 100ml	","Body Mist",300,350,,7,7
1052,"667534419601 667536447671 667528031123 667537008642 667535677185 667535677185  ","Victoria Secret Body Mist 100ml","Body Mist",480,600,,2,2
1053,8851938902223,"Victory Brush Sslima Travel Box",Toothbrush,80,120,,346,346
1054,8851938902131,"Victory remla Toothbrush",Toothbrush,120,150,,0,0
1055,11808081110000,"VIN 21 ACNE CLEANSER 100ML","Face Wash",200,300,,73,73
1056,11805191057000,"Vin21 Age Solution Cream 15g",Cream,0,0,,0,0
1057,11805191061000,"Vin21 Anti-Acne Cream 10ml 4zinc	",Cream,130,250,,156,156
1058,11805191060000,"Vin21 Anti-Melasma Cream 15gm","Facial Toner",250,300,,87,87
1059,11805191059000,"Vin21 Creked Heels Cream 30g","Heel cream",0,0,,0,0
1060,11805191063000,"Vin21 Facial Sunblock Cream 15ml",Cream,0,0,,0,0
1061,11805191058000,"Vin21 Post Acne Cream 15ml	",Cream,170,280,,144,144
1062,11805191062000,"Vin21 Renewal Eye Serum 7ml","Eye Gel",200,300,,183,183
1063,"8858831000209 8858831000018      ","Vipada Goatmilk Soap 60ml",Soap,120,200,,2034,2034
1064,8858831005044,"Vipada Honey & Gold Soap 130g",Soap,120,200,,135,135
1065,8858831000612,"Vipada Papaya Soap 70gm",Soap,50,120,,108,108
1066,11803109110000,"Vipada Whitening Lotion 200ml","Baby Lotion",165,220,,1,1
1067,8850722043616,"Vitamin E Aron Cream 200ml",Cream,160,220,,0,0
1068,11811011173000,"Vitamine E Cream ",Cream,155,160,,144,144
1069,11808081108000,"Vixol  900ML","Dish Wash",240,280,,10,10
1070,11808081109000,"Vixol 450ML","Dish Wash",140,180,,396,396
1071,1802113490000,"Vlue Vatiny POwder 11g",Facepowder,55,62.5,,1224,1224
1072,11804099790000,"Vsia Coffe",Tea,400,500,,1,1
1073,11803279630000,"Watson B.W 1000ml","Body Wash",550,550,,0,0
1074,1802112450000,"Watson Dental Floss 501","Dental Floss",70,80,,1,1
1075,11803139220000,"Wet Tissue 80pcs ","Cleansing Milk",150,160,,6,6
1076,5012345678900,"White Active Cream 20g",Cream,155,170,,533,533
1077,11808081113000,"White Aura Miracle Carrot Soap 80G",Soap,160,250,,256,256
1078,8858868300426,"Whitening Herbal Soap 160gm",Soap,60,60,,92,92
1079,11809131153000,"Wills Olive Oil 100ml ","Olive Oil",90,95,,360,360
1080,11803159300000,"Wood Cotton Bud 100Pcs ","Cotton Bud",200,220,,1107,1107
1081,11803259580000,"Wood Cotton Bud 50Pcs ","Cotton Bud",300,320,,214,214
1082,11804151021000,"Wood Show Brush","Show polish",50,80,,454,454
1083,22164025,"Woodspice/Harvard powder 200ml uk",Powder,400,450,,0,0
1084,"5060120166746 5060120166685 5012251010634     ","XBC Facial Wips","Baby Wipes",150,220,,40,40
1085,"6297000669243 6297000669267 6297000442617     ","Yardeley Lotion 200ml","Body Lotion",250,280,,0,0
1086,"6297000226767 6297000226750 6297000669274     ","Yardley Lotion 400ml","Body Lotion",482,500,,0,0
1087,8903105010917,"Yardley Soap 100ml",Soap,235,240,,18,18
1088,8855322000373,"YC Acne Cream 4g",Cream,35,50,,1,1
1089,8857101110754,"YC Acne Soap 100gm",Soap,110,120,,21,21
1090,8857101158343,"Yc Aloevera & Herbal Cream",Cream,40,80,,127,127
1091,1802112290000,"YC Breast Cream 120ml",Cream,200,250,,328,328
1092,8855322000472,"Yc Eye Lightning Cream","Eye Gel",180,220,,58,58
1093,1802115200000,"YC Harbal Soap 100gm",Soap,100,110,,529,529
1094,1802114230000,"YC LIP & Cheek Pink Gel 15ml","Lip Gel",220,280,,72,72
1095,"8857101118446 8857101150538 8857101157230 8857101110440 8857101157889   ","YC Peel Of Musk 120ml","Peel of Musk",160,180,,291,291
1096,8857101146074,"YC Spa Salt Pack 300ml","Body Salt",90,130,,396,396
1097,1802111970000,"YC Stretch Mark Cream 120ml",Cream,180,250,,1,1
1098,8857101125772,"YC UV Expert Whitening Lotion 250ml","Body Lotion",200,220,,0,0
1099,8857101110877,"YC Whitenning Facial Scrub 175ml","Face Wash",115,130,,0,0
1100,8857101125420,"YC Whitenning FW 100ml","Face Wash",107,108,,0,0
1101,1802115230000,"YC Whitenning Milk Soap 90gm",Soap,100,110,,489,489
1102,"5014697027948 5014697027962 5014697027924 5014697027900 8903105   ","Yeardly Body Spray 200ml","Body Spray",165,180,,12,12
1103,"6297000442938 6297000442457      ","Yeardly Gentle Man Edt 100ml",Parfume,750,800,,0,0
1104,11804119810000,"Yeardly Powder 100ml",Powder,108,120,,0,0
1105,11803319670000,"Yeardly Powder 250ml",Powder,260,260,,0,0
1106,11804119800000,"Yeardly Roll ON 50ml","Deo Roll On",114,120,,0,0
1107,11804129870000,"YOKO  (ALOE VERA EXTRACT) CREAM 4g",Cream,28,80,,79,79
1108,11804129860000,"YOKO  (GINSENG & PEARL) 4g",Cream,28,80,,125,125
1109,11804129880000,"YOKO  (PAPAYA EXTRACT)  CREAM 4g",Cream,28,80,,105,105
1110,8853976006208,"Yoko  Argan Oil hair&Skin Care Set",Cream,700,1200,,48,48
1111,8853976004655,"Yoko Acne Cream",Cream,130,180,,294,294
1112,8853976004587,"YOKO ACNE MELESMA SOAP 80GM",Soap,150,200,,469,469
1113,11804129830000,"YOKO ACNE-MELASMA CREAM 4g",Cream,28,80,,29,29
1114,11804129850000,"YOKO ACNE-MELASMA CREAM CO ENZYME Q-10 4g",Cream,28,80,,114,114
1115,8853976004433,"Yoko Aloe Vera Whitening Soap 100gm",Soap,100,120,,0,0
1116,8853976000244,"Yoko Anti-Aging Cream 30g",Cream,160,280,,144,144
1117,1802112950000,"Yoko Argan Eye Gel 15ml","Eye Gel",700,750,,68,68
1118,8853976005737,"Yoko Argan Oil Cream 50ml",Cream,350,500,,16,16
